asset_id,filename,bin_path,file_path,used_in_timeline,notes
flying-up-above-cloud-in-slow-motion-SBV-331805079-HD,flying-up-above-cloud-in-slow-motion-SBV-331805079-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/flying-up-above-cloud-in-slow-motion-SBV-331805079-HD.mp4,no,
vintage-clock-hands-moving-slowly-SBV-354178858-HD,vintage-clock-hands-moving-slowly-SBV-354178858-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/vintage-clock-hands-moving-slowly-SBV-354178858-HD.mp4,yes,
retro-clock-with-city-name-under-window-arch-at-sao-bento-train-station-in-porto-SBV-354986195-HD,retro-clock-with-city-name-under-window-arch-at-sao-bento-train-station-in-porto-SBV-354986195-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/retro-clock-with-city-name-under-window-arch-at-sao-bento-train-station-in-porto-SBV-354986195-HD.mp4,yes,
sun-shining-through-cathedral-stained-glass-window-religion-faith-SBV-307871979-HD,sun-shining-through-cathedral-stained-glass-window-religion-faith-SBV-307871979-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/sun-shining-through-cathedral-stained-glass-window-religion-faith-SBV-307871979-HD.mp4,no,
wing-of-plane-passing-over-white-fluffy-clouds-SBV-308128565-HD,wing-of-plane-passing-over-white-fluffy-clouds-SBV-308128565-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/wing-of-plane-passing-over-white-fluffy-clouds-SBV-308128565-HD.mp4,no,
extreme-close-up-view-of-clock-at-the-last-3-seconds-to-midnight-SBV-300900384-HD,extreme-close-up-view-of-clock-at-the-last-3-seconds-to-midnight-SBV-300900384-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/extreme-close-up-view-of-clock-at-the-last-3-seconds-to-midnight-SBV-300900384-HD.mp4,yes,
antwerp-belgium-june-22-2019-interior-hall-of-central-railway-train-station-SBV-352504994-HD,antwerp-belgium-june-22-2019-interior-hall-of-central-railway-train-station-SBV-352504994-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/antwerp-belgium-june-22-2019-interior-hall-of-central-railway-train-station-SBV-352504994-HD.mp4,yes,
royal-observatory-greenwich-london-aerial-4k-drone-footage-SBV-353947008-HD,royal-observatory-greenwich-london-aerial-4k-drone-footage-SBV-353947008-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/royal-observatory-greenwich-london-aerial-4k-drone-footage-SBV-353947008-HD.mp4,no,
looking-through-aircraft-plane-window-overlooking-clouds-sky-in-flight-SBV-332523040-HD,looking-through-aircraft-plane-window-overlooking-clouds-sky-in-flight-SBV-332523040-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/looking-through-aircraft-plane-window-overlooking-clouds-sky-in-flight-SBV-332523040-HD.mp4,yes,
zurich-switzerland-april-25-2024-uetliberg-train-approaching-the-station-SBV-349049976-HD,zurich-switzerland-april-25-2024-uetliberg-train-approaching-the-station-SBV-349049976-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/zurich-switzerland-april-25-2024-uetliberg-train-approaching-the-station-SBV-349049976-HD.mp4,no,
aerial-top-down-view-cityscape-of-papa-square-at-downtown-vitoria-state-of-espirito-SBV-347199826-HD,aerial-top-down-view-cityscape-of-papa-square-at-downtown-vitoria-state-of-espirito-SBV-347199826-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/aerial-top-down-view-cityscape-of-papa-square-at-downtown-vitoria-state-of-espirito-SBV-347199826-HD.mp4,yes,
aerial-top-down-view-of-waving-flag-of-brazil-in-park-at-curitiba-in-parana-brazil-SBV-349311445-HD,aerial-top-down-view-of-waving-flag-of-brazil-in-park-at-curitiba-in-parana-brazil-SBV-349311445-HD.mp4,Master/01_asset,/Users/delaxpro/Dropbox/JAL/01_asset/aerial-top-down-view-of-waving-flag-of-brazil-in-park-at-curitiba-in-parana-brazil-SBV-349311445-HD.mp4,no,
